category,name,date,text
debate,Donald Trump,2020,"When I put on the travel ban… You know, I put it on in January. The end of January. When I put on the travel ban Joe Biden, and others, said, “This is ridiculous. You don’t do that.” Well, Dr. Fauci said, I saved thousands and thousands of lives."
debate,Savannah Guthrie,2020,Did you [crosstalk 00:25:52]-
debate,Donald Trump,2020,"I was early, I was extremely early, when I put on the travel ban."
debate,Savannah Guthrie,2020,"Can I ask you, did your National Security Advisor, on January 28th in the Oval Office, warn you that this would be the greatest national security risk of your administration?"
debate,Donald Trump,2020,"I read that, but no, he didn’t."
debate,Savannah Guthrie,2020,"He didn’t say it, or you don’t remember?"
debate,Donald Trump,2020,"I read it… I read it, someplace. Maybe Woodward said it, or something. But no, he did not say that. But, I knew it was a big threat. At the same time, I don’t want to panic this country. I don’t want to go out and say, “Everybody’s going to die. Everybody’s going to-”"
debate,Savannah Guthrie,2020,Isn’t there a middle ground?
debate,Donald Trump,2020,Okay?
debate,Savannah Guthrie,2020,You don’t have to mislead-
debate,Donald Trump,2020,"No, there’s not a middle ground."
debate,Savannah Guthrie,2020,… but you can-
debate,Donald Trump,2020,"No, no. No. There’s not a middle ground. You have to be safe. You have to be vigilant, and you have to be smart."
debate,Savannah Guthrie,2020,You’re going to like this next couple of voters.
debate,Donald Trump,2020,Okay. Good.
debate,Savannah Guthrie,2020,"It’s a mom and a daughter. Mom, Barbara voted for you in 2016. She’s leaning to vote for you again. Now, her daughter was too young to vote last time, she’s going to vote for her first time in a presidential campaign. And she is leaning, Biden. So imagine the dinner table at their house. Okay?"
debate,Donald Trump,2020,We’ll talk you out of it.
debate,Savannah Guthrie,2020,"So Barbara, why don’t you go first, and ask your question."
debate,Donald Trump,2020,"[Spanish, foreign language 00:26:48] Miami."
debate,Savannah Guthrie,2020,Thank you.
debate,Barbara Peña,2020,"Mr. Trump, as a frontline ER doctor, working through the coronavirus pandemic-"
debate,Donald Trump,2020,Right.
debate,Barbara Peña,2020,"… I know firsthand, and I’ve seen that many hospitals throughout the United States, are suffering financial hardships. These economic effects are trickling down to the frontline workers."
debate,Donald Trump,2020,Right.
debate,Barbara Peña,2020,"We are being… Across the country, frontline workers are being fired, they’re being furloughed. Our salaries are being cut, and this is also happening another economic sectors as well, including the travel industry and hospitality."
debate,Donald Trump,2020,Right.
debate,Barbara Peña,2020,"My question to you is, how are you going to get the United States back on track, both in terms of the economy and the pandemic?"
debate,Donald Trump,2020,"So, it’s happening. We just set a record, 11.4 million jobs. We are going to have a phenomenal third quarter, which will be announced on November 1st, just prior to the big November 3rd day, where I think you’re going to see a red wave. But we’re going to have a tremendous announcement. I believe. I mean, we’re going to find out, but GDP is going through the roof. Jobs, real estate, houses. So many things are happening."
debate,Donald Trump,2020,"So, people were saying, we’re going to have a 42% unemployment. Look, this was a thing that came into our country and it happened a hundred, more than a hundred years ago, and it happened now. They were talking about a 42% unemployment rate."
debate,Savannah Guthrie,2020,Who was talking about that?
debate,Donald Trump,2020,"It came out, it just came out-"
debate,Savannah Guthrie,2020,"I heard, 20%."
debate,Donald Trump,2020,"… at 7.8% unemployment, and people can’t even believe it. Our economy is going to be… Next year, if we don’t have somebody that raises taxes and quadruples taxes, which they want to do, and it kills everything. Our economy is going to be phenomenal, next year. We’re going to have a phenomenal…"
debate,Donald Trump,2020,"And, I’ll tell you, Savannah. We had the greatest economy in the history of our country last year, including the state of Florida, where we are now. In Pennsylvania, in North Carolina, in Ohio, every place. We had the greatest economy we ever had. We had to close it down, we saved two million lives. We’re opening it up. We have a V-shape and it’s coming back. It’s coming back very fast."
debate,Donald Trump,2020,"One other thing, we really helped the hospitals. We’ve sent billions and billions of dollars to the hospitals. In addition, hundreds of millions of masks and gowns. And we went into the ventilator business, because this country was not equipped with ventilators. And I’m not blaming anybody for it. But we’re now making thousands of ventilators a month, and we have all we can use. We’re sending them all over the world, because the world needs them. So, they’ve worked very hard and really very, very effectively. Thank you. Great question."
debate,Savannah Guthrie,2020,"Let’s talk to Isabella, and put the mic close to your mouth. Okay, go ahead."
debate,Isabella Peña,2020,"Mr. President, my parents are, as you heard, both frontline healthcare workers. And I’ve seen the physical and the mental toll that this pandemic has taken on them, firsthand. As well as the exacerbation of coronavirus, due to Americans who are not wearing masks or participating in social distancing. After contracting COVID-19 yourself, has your opinion changed on the importance of mask wearing?"
debate,Donald Trump,2020,"No, because I was okay with the masks. I was good with it, but I’ve heard many different stories on masks. I had, being president, you have people, they bring meals, they bring this, they… And I had an instance recently, where a very wonderful person is bringing me a meal, and he’s playing with his mask. And he’s touching his mask, all over the place."
debate,Donald Trump,2020,"And then he’s bringing a plate in, and I’m saying, “Well, I don’t know if that’s so good.” I mean, the good news, I didn’t eat it. Okay? I decided not to eat it. This was a month ago. But I… Look, look, you have, on the masks, you have two stories. You have a story where they want, a story where they don’t want. I am all for it."
debate,Savannah Guthrie,2020,"Who is, I don’t get that, because it’s just… All of your public health officials, your administration, they’re in unison about this."
debate,Donald Trump,2020,Some. No.
debate,Savannah Guthrie,2020,They’re all in unison about it.
debate,Donald Trump,2020,"No, the [crosstalk 00:30:25]."
debate,Savannah Guthrie,2020,"The University of Washington, which is, they have a model that your coronavirus task force relies on. Says that, if everyone wore a mask, you could cut expected deaths in half."
debate,Donald Trump,2020,"And then, you have other people that disagree."
debate,Savannah Guthrie,2020,"60,000 lives. Well, what does that mean?"
debate,Donald Trump,2020,"Scott Atkins, if you look at Scott, Dr. Scott. He’s from, great guy, Stanford. He will tell you that, he disagrees with you."
debate,Savannah Guthrie,2020,He’s not an infectious disease expert.
debate,Donald Trump,2020,"Oh, I don’t know. Look, he’s an expert. He’s one of the great experts of the world."
